Value,MODLAND,Emis Error flag,LST Error Flag,Data Quality flag
2,LST not produced due to cloud effects,Average emissivity error <= 0.01,Average LST error <= 1K,Good data quality
3,LST not produced primarily due to reasons other than cloud,Average emissivity error <= 0.01,Average LST error <= 1K,Good data quality
17,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 1K,Good data quality
33,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.04,Average LST error <= 1K,Good data quality
65,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 2K,Good data quality
81,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 2K,Good data quality
97,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.04,Average LST error <= 2K,Good data quality
113,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error > 0.04,Average LST error <= 2K,Good data quality
129,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 3K,Good data quality
145,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 3K,Good data quality
161,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.04,Average LST error <= 3K,Good data quality
177,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error > 0.04,Average LST error <= 3K,Good data quality
